Month,MainMeter,TotalConsumed,SecondFloorMeter,SecondFloorConsumed,Self,FinalSecondFloor,EnergyUnits,GasBill
August 24,108445,620,27264,62,458,162,1078,0
September 24,109653,1208,27645,381,727,481,1935,0
October 24,110318,665,27925,280,285,380,950,0
November 24,111492,1174,28088,163,911,263,2085,0
December 24,111772,280,28205,117,43,237,323,0
January 25,112062,290,28205,0,170,120,460,0
February 25,112286,224,28205,0,0,224,224,0
March 25,112508,222,28503,298,0,222,222,0
April 25,112736,228,28503,0,0,228,228,0
May 25,113435,699,28503,0,0,699,699,0
June 25,114113,678,29382,879,0,678,678,0
July 25,114113,0,29382,0,0,678,0,0
August 25,114113,0,29382,0,0,678,0,0
